Year,Company/Brand,Sector,Stage,Amount($),HeadQuarter
2018,Wellthy Therapeutics Pvt Ltd,Hospitality,Seed,1620000.0,Mumbai
2018,Nua,Commerce,Seed,17030531.594164457,Mumbai
2018,Kuvera.in,Finance,Angel,250000.0,Bengaluru
2018,Livehealth,Technology,Seed,1100000.0,Pune
2018,Gramophone,Agriculture,Seed,1000000.0,Indore
2018,Ora,Hospitality,Seed,17030531.594164457,Kolkata
2018,Buddy4Study.com,Business Intelligence,Series A,3000000.0,Noida
2018,Predible Health,Agriculture,Seed,17030531.594164457,Bengaluru
2018,Syncremedies Healthcare Pvt Ltd,Health,Seed,17030531.594164457,Bengaluru
2018,Blueleaf Cyberspace Systems,Technology,Seed,17030531.594164457,Bengaluru
2018,Toffee,Agriculture,Seed,1500000.0,Gurgaon
2018,ORO Wealth,Agriculture,Series A,1600000.0,Mumbai
2018,HealWell24,Lifestyle,Seed,200000.0,Mumbai
2018,Acko General Insurance,Finance,Series A,12000000.0,Mumbai
2018,arzooo.com,Commerce,Seed,180000.0,Bengaluru
2018,Bonphul Air Products,Technology,Angel,240000.0,Delhi
2018,DheeYantra Research Labs,Technology,Seed,17030531.594164457,Bengaluru
2018,Edyoo,Education,Seed,1000000.0,Bengaluru
2018,Chtrbox,Technology,Angel,120000.0,Mumbai
2018,Aashiyaan Housing and Development Finance,Finance,Seed,1620000.0,Kolkata
2018,BetterPlace Safety Solutions Pvt. Ltd.,Technology,Series A,3000000.0,Bengaluru City
2018,Cashkumar,Technology,Seed,600000.0,Bengaluru
2018,Rocketium,Commerce,Seed,240000.0,Bengaluru
2018,FreightBazaar,Transport,Seed,17030531.594164457,Hyderabad
2018,OPEN,Finance,Seed,17030531.594164457,Bengaluru
2018,mfine,Hospitality,Series A,4200000.0,Bengaluru
2018,Earth Food,Food & Beverages,Seed,768000.0,Pune
2018,Charcoal Eats,Food & Beverages,Seed,600000.0,Mumbai
2018,Wishfie,Technology,Seed,17030531.594164457,Bengaluru
2018,The Social Hook,Commerce,Seed,17030531.594164457,Bengaluru
2018,FreightBro,Technology,Seed,17030531.594164457,Mumbai
2018,Finwego,Agriculture,Seed,17030531.594164457,Chennai
2018,Cricnwin,Sports,Seed,17030531.594164457,Gurgaon
2018,Wicked Ride Adventure Services Private Limited,Transport,Unknown,10000000.0,Bengaluru
2018,Career Anna,Education,Seed,480000.0,Bengaluru
2018,Gaia Smart Cities,Agriculture,Seed,17030531.594164457,Mumbai
2018,Square Off,Technology,Seed,1100000.0,Mumbai
2018,Hospals,Hospitality,Seed,1500000.0,New Delhi
2018,Kogta Financial India Limited,Finance,Series B,18480000.0,Jaipur
2018,Perspectico,Technology,Seed,17030531.594164457,New Delhi
2018,The Souled Store,Lifestyle,Unknown,3000000.0,Mumbai
2018,Hush - Speak Up. Make Work Better,Technology,Seed,540000.0,Bengaluru
2018,Freyr Energy,Energy,Series A,1500000.0,Hyderabad
2018,NIRAMAI Health Analytix,Hospitality,Seed,6000000.0,Bengaluru
2018,CloudSek,Technology,Seed,1680000.0,Bengaluru
2018,Lendbox,Technology,Seed,720000.0,Delhi
2018,Verloop,Technology,Series A,3000000.0,Bengaluru
2018,Flickstree,Technology,Seed,17030531.594164457,Mumbai
2018,Paymatrix,Finance,Seed,100000.0,Hyderabad
2018,Idha Skin Clinic,Beauty & Fashion,Seed,60000.0,Bengaluru City
2018,Vedantu,Technology,Series B,11000000.0,Bengaluru
2018,Sportido,Sports,Seed,17030531.594164457,Noida
2018,Magicpin,Commerce,Series C,16920000.0,Gurgaon
2018,Try & Buy,Beauty & Fashion,Seed,17030531.594164457,New Delhi
2018,Mech Mocha,Technology,Series B,3530000.0,Bengaluru
2018,Aye Finance,Finance,Debt Financing,864000.0,Gurgaon
2018,Aldopay,Technology,Seed,200000.0,Chennai
2018,Detect Technologies,Technology,Series A,3300000.0,Chennai
2018,Signzy,Technology,Series A,2880000.0,Bengaluru
2018,CashRich,Technology,Seed,1000000.0,Mumbai
2018,Cloudnine Hospitals,Hospitality,Equity,17030531.594164457,Bengaluru
2018,CropIn Technologies,Technology,Series B,6960000.0,Bengaluru
2018,Billdesk,Technology,Unknown,17030531.594164457,Ahmedabad
2018,Yaantra,Technology,Debt Financing,2000000.0,Delhi
2018,TECHBOOZE,Education,Seed,100000.0,New Delhi
2018,HealthifyMe,Technology,Series B,6000000.0,Bengaluru
2018,hoi foods,Food & Beverages,Seed,432000.0,Gurgaon
2018,Perpule,Technology,Series A,4080000.0,Bengaluru
2018,CleanseCar,Transport,Angel,420000.0,Bengaluru
2018,DRIVEU,Hospitality,Unknown,840000.0,Bengaluru
2018,Spinny,Technology,Series A,11000000.0,Gurgaon
2018,Asset Reconstruction Company (India) Ltd.,Finance,Equity,17030531.594164457,Mumbai
2018,Med365 Healthcare,Agriculture,Seed,600000.0,Jaipur
2018,Dunzo,Technology,Debt Financing,840000.0,Bengaluru
2018,Mobile Premier League (MPL),Sports,Series A,5000000.0,Bengaluru
2018,Cred,Agriculture,Seed,17030531.594164457,Bengaluru
2018,BhaskarGuru,Technology,Seed,1000000.0,Bhopal
2018,Gugu,Transport,Seed,250000.0,Coimbatore
2018,FarmTaaza,Commerce,Series A,17030531.594164457,Bengaluru
2018,Vizzbee,Technology,Pre-Seed,20000.0,Bhopal
2018,BIGPHI TECHNOLOGIES PVT. LTD.,Beauty & Fashion,Angel,900000.0,Bengaluru
2018,Mobycy,Technology,Angel,17030531.594164457,Gurgaon
2018,Traveo Soft Pvt. Ltd.,Technology,Unknown,14400.0,Bengaluru
2018,Em Personal Care,Beauty & Fashion,Seed,17030531.594164457,Worli
2018,Lucideus,Technology,Unknown,5000000.0,New Delhi
2018,Eupheus Learning,Technology,Seed,17030531.594164457,Delhi
2018,GamingMonk,Sports,Series A,480000.0,New Delhi
2018,Sukkhi Jewellery,Beauty & Fashion,Unknown,6120000.0,Mumbai
2018,INDwealth,Finance,Seed,26400000.0,Gurgaon
2018,Medikabazaar,Commerce,Series A,5000000.0,Mumbai
2018,NIRA,Technology,Seed,1000000.0,Bengaluru
2018,Duroflex Pvt. Ltd.,Commerce,Equity,22000000.0,Alleppey
2018,Clensta,Technology,Seed,17030531.594164457,New Delhi
